tempo,entidade,variavel,valor,cenario
INFO,GERAL,custo_total,74.82778741590015,0
INFO,GERAL,num_barras,33.0,0
INFO,GERAL,num_baterias,2.0,0
INFO,GERAL,periodos_tempo,24.0,0
1,barra_1,PS,0.0,0
2,barra_1,PS,0.0,0
3,barra_1,PS,0.0,0
4,barra_1,PS,0.0,0
5,barra_1,PS,0.0,0
6,barra_1,PS,0.0,0
7,barra_1,PS,0.0,0
8,barra_1,PS,0.0,0
9,barra_1,PS,0.0,0
10,barra_1,PS,0.0,0
11,barra_1,PS,0.0,0
12,barra_1,PS,0.0,0
13,barra_1,PS,0.0,0
14,barra_1,PS,0.0,0
15,barra_1,PS,0.0,0
16,barra_1,PS,0.0,0
17,barra_1,PS,0.0,0
18,barra_1,PS,0.0,0
19,barra_1,PS,0.0,0
20,barra_1,PS,0.0,0
21,barra_1,PS,0.0,0
22,barra_1,PS,0.0,0
23,barra_1,PS,0.0,0
24,barra_1,PS,0.0,0
1,barra_2,PS,0.0,0
2,barra_2,PS,0.0,0
3,barra_2,PS,0.0,0
4,barra_2,PS,0.0,0
5,barra_2,PS,0.0,0
6,barra_2,PS,0.0,0
7,barra_2,PS,0.0,0
8,barra_2,PS,0.0,0
9,barra_2,PS,0.0,0
10,barra_2,PS,0.0,0
11,barra_2,PS,0.0,0
12,barra_2,PS,0.0,0
13,barra_2,PS,0.0,0
14,barra_2,PS,0.0,0
15,barra_2,PS,0.0,0
16,barra_2,PS,0.0,0
17,barra_2,PS,0.0,0
18,barra_2,PS,0.0,0
19,barra_2,PS,0.0,0
20,barra_2,PS,0.0,0
21,barra_2,PS,0.0,0
22,barra_2,PS,0.0,0
23,barra_2,PS,0.0,0
24,barra_2,PS,0.0,0
1,barra_3,PS,0.0,0
2,barra_3,PS,0.0,0
3,barra_3,PS,0.0,0
4,barra_3,PS,0.0,0
5,barra_3,PS,0.0,0
6,barra_3,PS,0.0,0
7,barra_3,PS,0.0,0
8,barra_3,PS,0.0,0
9,barra_3,PS,0.0,0
10,barra_3,PS,0.0,0
11,barra_3,PS,0.0,0
12,barra_3,PS,0.0,0
13,barra_3,PS,0.0,0
14,barra_3,PS,0.0,0
15,barra_3,PS,0.0,0
16,barra_3,PS,0.0,0
17,barra_3,PS,0.0,0
18,barra_3,PS,0.0,0
19,barra_3,PS,0.0,0
20,barra_3,PS,0.0,0
21,barra_3,PS,0.0,0
22,barra_3,PS,0.0,0
23,barra_3,PS,0.0,0
24,barra_3,PS,0.0,0
1,barra_4,PS,0.0,0
2,barra_4,PS,0.0,0
3,barra_4,PS,0.0,0
4,barra_4,PS,0.0,0
5,barra_4,PS,0.0,0
6,barra_4,PS,0.0,0
7,barra_4,PS,0.0,0
8,barra_4,PS,0.0,0
9,barra_4,PS,0.0,0
10,barra_4,PS,0.0,0
11,barra_4,PS,0.0,0
12,barra_4,PS,0.0,0
13,barra_4,PS,0.0,0
14,barra_4,PS,0.0,0
15,barra_4,PS,0.0,0
16,barra_4,PS,0.0,0
17,barra_4,PS,0.0,0
18,barra_4,PS,0.0,0
19,barra_4,PS,0.0,0
20,barra_4,PS,0.0,0
21,barra_4,PS,0.0,0
22,barra_4,PS,0.0,0
23,barra_4,PS,0.0,0
24,barra_4,PS,0.0,0
1,barra_5,PS,0.0,0
2,barra_5,PS,0.0,0
3,barra_5,PS,0.0,0
4,barra_5,PS,0.0,0
5,barra_5,PS,0.0,0
6,barra_5,PS,0.0,0
7,barra_5,PS,0.0,0
8,barra_5,PS,0.0,0
9,barra_5,PS,0.0,0
10,barra_5,PS,0.0,0
11,barra_5,PS,0.0,0
12,barra_5,PS,0.0,0
13,barra_5,PS,0.0,0
14,barra_5,PS,0.0,0
15,barra_5,PS,0.0,0
16,barra_5,PS,0.0,0
17,barra_5,PS,0.0,0
18,barra_5,PS,0.0,0
19,barra_5,PS,0.0,0
20,barra_5,PS,0.0,0
21,barra_5,PS,0.0,0
22,barra_5,PS,0.0,0
23,barra_5,PS,0.0,0
24,barra_5,PS,0.0,0
1,barra_6,PS,0.0,0
2,barra_6,PS,0.0,0
3,barra_6,PS,0.0,0
4,barra_6,PS,0.0,0
5,barra_6,PS,0.0,0
6,barra_6,PS,0.012,0
7,barra_6,PS,0.048,0
8,barra_6,PS,0.1,0
9,barra_6,PS,0.18,0
10,barra_6,PS,0.26,0
11,barra_6,PS,0.32,0
12,barra_6,PS,0.368,0
13,barra_6,PS,0.4,0
14,barra_6,PS,0.384,0
15,barra_6,PS,0.336,0
16,barra_6,PS,0.26,0
17,barra_6,PS,0.152,0
18,barra_6,PS,0.06,0
19,barra_6,PS,0.012,0
20,barra_6,PS,0.0,0
21,barra_6,PS,0.0,0
22,barra_6,PS,0.0,0
23,barra_6,PS,0.0,0
24,barra_6,PS,0.0,0
1,barra_7,PS,0.0,0
2,barra_7,PS,0.0,0
3,barra_7,PS,0.0,0
4,barra_7,PS,0.0,0
5,barra_7,PS,0.0,0
6,barra_7,PS,0.0,0
7,barra_7,PS,0.0,0
8,barra_7,PS,0.0,0
9,barra_7,PS,0.0,0
10,barra_7,PS,0.0,0
11,barra_7,PS,0.0,0
12,barra_7,PS,0.0,0
13,barra_7,PS,0.0,0
14,barra_7,PS,0.0,0
15,barra_7,PS,0.0,0
16,barra_7,PS,0.0,0
17,barra_7,PS,0.0,0
18,barra_7,PS,0.0,0
19,barra_7,PS,0.0,0
20,barra_7,PS,0.0,0
21,barra_7,PS,0.0,0
22,barra_7,PS,0.0,0
23,barra_7,PS,0.0,0
24,barra_7,PS,0.0,0
1,barra_8,PS,0.0,0
2,barra_8,PS,0.0,0
3,barra_8,PS,0.0,0
4,barra_8,PS,0.0,0
5,barra_8,PS,0.0,0
6,barra_8,PS,0.0,0
7,barra_8,PS,0.0,0
8,barra_8,PS,0.0,0
9,barra_8,PS,0.0,0
10,barra_8,PS,0.0,0
11,barra_8,PS,0.0,0
12,barra_8,PS,0.0,0
13,barra_8,PS,0.0,0
14,barra_8,PS,0.0,0
15,barra_8,PS,0.0,0
16,barra_8,PS,0.0,0
17,barra_8,PS,0.0,0
18,barra_8,PS,0.0,0
19,barra_8,PS,0.0,0
20,barra_8,PS,0.0,0
21,barra_8,PS,0.0,0
22,barra_8,PS,0.0,0
23,barra_8,PS,0.0,0
24,barra_8,PS,0.0,0
1,barra_9,PS,0.0,0
2,barra_9,PS,0.0,0
3,barra_9,PS,0.0,0
4,barra_9,PS,0.0,0
5,barra_9,PS,0.0,0
6,barra_9,PS,0.0,0
7,barra_9,PS,0.0,0
8,barra_9,PS,0.0,0
9,barra_9,PS,0.0,0
10,barra_9,PS,0.0,0
11,barra_9,PS,0.0,0
12,barra_9,PS,0.0,0
13,barra_9,PS,0.0,0
14,barra_9,PS,0.0,0
15,barra_9,PS,0.0,0
16,barra_9,PS,0.0,0
17,barra_9,PS,0.0,0
18,barra_9,PS,0.0,0
19,barra_9,PS,0.0,0
20,barra_9,PS,0.0,0
21,barra_9,PS,0.0,0
22,barra_9,PS,0.0,0
23,barra_9,PS,0.0,0
24,barra_9,PS,0.0,0
1,barra_10,PS,0.0,0
2,barra_10,PS,0.0,0
3,barra_10,PS,0.0,0
4,barra_10,PS,0.0,0
5,barra_10,PS,0.0,0
6,barra_10,PS,0.0,0
7,barra_10,PS,0.0,0
8,barra_10,PS,0.0,0
9,barra_10,PS,0.0,0
10,barra_10,PS,0.0,0
11,barra_10,PS,0.0,0
12,barra_10,PS,0.0,0
13,barra_10,PS,0.0,0
14,barra_10,PS,0.0,0
15,barra_10,PS,0.0,0
16,barra_10,PS,0.0,0
17,barra_10,PS,0.0,0
18,barra_10,PS,0.0,0
19,barra_10,PS,0.0,0
20,barra_10,PS,0.0,0
21,barra_10,PS,0.0,0
22,barra_10,PS,0.0,0
23,barra_10,PS,0.0,0
24,barra_10,PS,0.0,0
1,barra_11,PS,0.0,0
2,barra_11,PS,0.0,0
3,barra_11,PS,0.0,0
4,barra_11,PS,0.0,0
5,barra_11,PS,0.0,0
6,barra_11,PS,0.0,0
7,barra_11,PS,0.0,0
8,barra_11,PS,0.0,0
9,barra_11,PS,0.0,0
10,barra_11,PS,0.0,0
11,barra_11,PS,0.0,0
12,barra_11,PS,0.0,0
13,barra_11,PS,0.0,0
14,barra_11,PS,0.0,0
15,barra_11,PS,0.0,0
16,barra_11,PS,0.0,0
17,barra_11,PS,0.0,0
18,barra_11,PS,0.0,0
19,barra_11,PS,0.0,0
20,barra_11,PS,0.0,0
21,barra_11,PS,0.0,0
22,barra_11,PS,0.0,0
23,barra_11,PS,0.0,0
24,barra_11,PS,0.0,0
1,barra_12,PS,0.0,0
2,barra_12,PS,0.0,0
3,barra_12,PS,0.0,0
4,barra_12,PS,0.0,0
5,barra_12,PS,0.0,0
6,barra_12,PS,0.0,0
7,barra_12,PS,0.0,0
8,barra_12,PS,0.0,0
9,barra_12,PS,0.0,0
10,barra_12,PS,0.0,0
11,barra_12,PS,0.0,0
12,barra_12,PS,0.0,0
13,barra_12,PS,0.0,0
14,barra_12,PS,0.0,0
15,barra_12,PS,0.0,0
16,barra_12,PS,0.0,0
17,barra_12,PS,0.0,0
18,barra_12,PS,0.0,0
19,barra_12,PS,0.0,0
20,barra_12,PS,0.0,0
21,barra_12,PS,0.0,0
22,barra_12,PS,0.0,0
23,barra_12,PS,0.0,0
24,barra_12,PS,0.0,0
1,barra_13,PS,0.0,0
2,barra_13,PS,0.0,0
3,barra_13,PS,0.0,0
4,barra_13,PS,0.0,0
5,barra_13,PS,0.0,0
