tipo,i,j,t,ativo,valor,F_max,b,R,c_loss,eta_ch,eta_dis,P_ch_max,P_dis_max,E_min,E_max,E0,c_ch,c_dis
BARRA,1,,,,,,,,,,,,,,,,,
BARRA,2,,,,,,,,,,,,,,,,,
BARRA,3,,,,,,,,,,,,,,,,,
BARRA,4,,,,,,,,,,,,,,,,,
BARRA,5,,,,,,,,,,,,,,,,,
BARRA,6,,,,,,,,,,,,,,,,,
BARRA,7,,,,,,,,,,,,,,,,,
BARRA,8,,,,,,,,,,,,,,,,,
BARRA,9,,,,,,,,,,,,,,,,,
BARRA,10,,,,,,,,,,,,,,,,,
BARRA,11,,,,,,,,,,,,,,,,,
BARRA,12,,,,,,,,,,,,,,,,,
BARRA,13,,,,,,,,,,,,,,,,,
BARRA,14,,,,,,,,,,,,,,,,,
BARRA,15,,,,,,,,,,,,,,,,,
BARRA,16,,,,,,,,,,,,,,,,,
BARRA,17,,,,,,,,,,,,,,,,,
BARRA,18,,,,,,,,,,,,,,,,,
BARRA,19,,,,,,,,,,,,,,,,,
BARRA,20,,,,,,,,,,,,,,,,,
BARRA,21,,,,,,,,,,,,,,,,,
BARRA,22,,,,,,,,,,,,,,,,,
BARRA,23,,,,,,,,,,,,,,,,,
BARRA,24,,,,,,,,,,,,,,,,,
BARRA,25,,,,,,,,,,,,,,,,,
BARRA,26,,,,,,,,,,,,,,,,,
BARRA,27,,,,,,,,,,,,,,,,,
BARRA,28,,,,,,,,,,,,,,,,,
BARRA,29,,,,,,,,,,,,,,,,,
BARRA,30,,,,,,,,,,,,,,,,,
BARRA,31,,,,,,,,,,,,,,,,,
BARRA,32,,,,,,,,,,,,,,,,,
BARRA,33,,,,,,,,,,,,,,,,,
LINHA,1,2.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,2,3.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,3,4.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,4,5.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,5,6.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,6,7.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,7,8.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,8,9.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,9,10.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,10,11.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,11,12.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,12,13.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,13,14.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,14,15.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,15,16.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,16,17.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,17,18.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,18,19.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,19,20.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,20,21.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,21,22.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,22,23.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,23,24.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,24,25.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,25,26.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,26,27.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,27,28.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,28,29.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,29,30.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,30,31.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,31,32.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
LINHA,32,33.0,,,,0.8,12.0,0.01,150.0,,,,,,,,,
ATIVO,6,,,solar,,,,,,,,,,,,,,
CUSTO_CURT,6,,,,4000.0,,,,,,,,,,,,,
SOLAR,6,,1.0,,0.0,,,,,,,,,,,,,
SOLAR,6,,2.0,,0.0,,,,,,,,,,,,,
SOLAR,6,,3.0,,0.0,,,,,,,,,,,,,
SOLAR,6,,4.0,,0.0,,,,,,,,,,,,,
SOLAR,6,,5.0,,0.0,,,,,,,,,,,,,
SOLAR,6,,6.0,,0.012,,,,,,,,,,,,,
SOLAR,6,,7.0,,0.048,,,,,,,,,,,,,
SOLAR,6,,8.0,,0.1,,,,,,,,,,,,,
SOLAR,6,,9.0,,0.18,,,,,,,,,,,,,
SOLAR,6,,10.0,,0.26,,,,,,,,,,,,,
SOLAR,6,,11.0,,0.32,,,,,,,,,,,,,
SOLAR,6,,12.0,,0.368,,,,,,,,,,,,,
SOLAR,6,,13.0,,0.4,,,,,,,,,,,,,
SOLAR,6,,14.0,,0.384,,,,,,,,,,,,,
SOLAR,6,,15.0,,0.336,,,,,,,,,,,,,
SOLAR,6,,16.0,,0.26,,,,,,,,,,,,,
SOLAR,6,,17.0,,0.152,,,,,,,,,,,,,
SOLAR,6,,18.0,,0.06,,,,,,,,,,,,,
SOLAR,6,,19.0,,0.012,,,,,,,,,,,,,
SOLAR,6,,20.0,,0.0,,,,,,,,,,,,,
SOLAR,6,,21.0,,0.0,,,,,,,,,,,,,
SOLAR,6,,22.0,,0.0,,,,,,,,,,,,,
SOLAR,6,,23.0,,0.0,,,,,,,,,,,,,
SOLAR,6,,24.0,,0.0,,,,,,,,,,,,,
ATIVO,14,,,solar,,,,,,,,,,,,,,
CUSTO_CURT,14,,,,4000.0,,,,,,,,,,,,,
SOLAR,14,,1.0,,0.0,,,,,,,,,,,,,
SOLAR,14,,2.0,,0.0,,,,,,,,,,,,,
SOLAR,14,,3.0,,0.0,,,,,,,,,,,,,
SOLAR,14,,4.0,,0.0,,,,,,,,,,,,,
SOLAR,14,,5.0,,0.0,,,,,,,,,,,,,
SOLAR,14,,6.0,,0.0105,,,,,,,,,,,,,
SOLAR,14,,7.0,,0.042,,,,,,,,,,,,,
SOLAR,14,,8.0,,0.0875,,,,,,,,,,,,,
SOLAR,14,,9.0,,0.1575,,,,,,,,,,,,,
SOLAR,14,,10.0,,0.2275,,,,,,,,,,,,,
SOLAR,14,,11.0,,0.28,,,,,,,,,,,,,
SOLAR,14,,12.0,,0.322,,,,,,,,,,,,,
SOLAR,14,,13.0,,0.35,,,,,,,,,,,,,
SOLAR,14,,14.0,,0.336,,,,,,,,,,,,,
SOLAR,14,,15.0,,0.294,,,,,,,,,,,,,
SOLAR,14,,16.0,,0.2275,,,,,,,,,,,,,
SOLAR,14,,17.0,,0.133,,,,,,,,,,,,,
SOLAR,14,,18.0,,0.0525,,,,,,,,,,,,,
SOLAR,14,,19.0,,0.0105,,,,,,,,,,,,,
SOLAR,14,,20.0,,0.0,,,,,,,,,,,,,
SOLAR,14,,21.0,,0.0,,,,,,,,,,,,,
SOLAR,14,,22.0,,0.0,,,,,,,,,,,,,
SOLAR,14,,23.0,,0.0,,,,,,,,,,,,,
SOLAR,14,,24.0,,0.0,,,,,,,,,,,,,
ATIVO,25,,,solar,,,,,,,,,,,,,,
CUSTO_CURT,25,,,,4000.0,,,,,,,,,,,,,
SOLAR,25,,1.0,,0.0,,,,,,,,,,,,,
SOLAR,25,,2.0,,0.0,,,,,,,,,,,,,
